Table 6.5 Percentile rank of detailed occupations by skills category, 2023;;;;;;;;;;;;;;;;;;
2023 National Employment Matrix title;2023 National Employment Matrix code;Adaptability;Computers and information technology;Creativity and innovation;Critical and analytical thinking;Customer service;Detail oriented;Fine motor;Interpersonal;Leadership;Mathematics;Mechanical;Physical strength and stamina;Problem solving and decision making;Project management;Science;Speaking and listening;Writing and reading
Airfield operations specialists;53-2022;54;60;31;68;82;97;47;48;84;46;60;46;90;56;66;74;62
Flight attendants;53-2031;81;37;43;34;100;87;37;89;32;10;29;89;63;43;36;95;29
Ambulance drivers and attendants, except emergency medical technicians;53-3011;52;36;35;33;76;81;55;79;28;19;74;80;38;41;58;45;42
Driver/sales workers;53-3031;26;18;19;8;80;35;71;34;2;54;53;83;11;26;5;48;25
Heavy and tractor-trailer truck drivers;53-3032;28;27;5;15;46;80;89;12;3;20;84;73;39;14;29;17;15
Light truck drivers;53-3033;24;24;14;23;53;46;65;25;16;24;72;88;18;28;39;22;30
Bus drivers, school[1];53-3051;39;20;8;9;74;71;79;66;13;14;65;49;27;7;17;31;22
Bus drivers, transit and intercity;53-3052;39;20;8;9;74;71;79;66;13;14;65;49;27;7;17;31;22
Shuttle drivers and chauffeurs[1];53-3053;39;20;8;9;74;71;79;66;13;14;65;49;27;7;17;31;22
Taxi drivers[1];53-3054;39;20;8;9;74;71;79;66;13;14;65;49;27;7;17;31;22
Motor vehicle operators, all other[1];53-3099;29;24;8;15;57;68;81;31;7;24;75;73;29;16;26;25;20
Locomotive engineers;53-4011;34;22;13;50;40;96;95;23;59;39;81;62;56;25;42;44;44
Rail yard engineers, dinkey operators, and hostlers;53-4013;62;28;19;39;34;87;89;49;80;22;91;79;55;45;28;45;34
Railroad brake, signal, and switch operators and locomotive firers;53-4022;36;10;9;18;19;89;81;13;35;16;74;78;44;10;30;22;31
Railroad conductors and yardmasters;53-4031;38;36;10;47;32;79;52;42;35;39;53;68;55;22;68;49;35
Subway and streetcar operators;53-4041;68;11;2;25;81;94;97;47;9;32;81;64;32;10;21;40;21
Rail transportation workers, all other[1];53-4099;42;25;9;42;40;90;74;35;37;35;69;67;51;19;51;42;36
Sailors and marine oilers;53-5011;17;19;24;23;25;83;90;55;68;44;90;96;22;39;67;33;23
Captains, mates, and pilots of water vessels;53-5021;58;37;45;50;50;82;85;52;85;50;92;80;84;79;72;54;48
Motorboat operators;53-5022;16;23;26;34;68;43;77;55;59;23;92;67;85;9;55;40;18
Ship engineers;53-5031;23;38;52;56;12;76;84;17;31;46;99;80;65;28;80;45;44
Bridge and lock tenders;53-6011;7;33;0;4;31;75;54;20;20;18;64;47;22;2;22;21;17
Parking attendants;53-6021;5;10;1;3;63;24;61;50;4;51;49;75;5;4;18;38;15
Automotive and watercraft service attendants;53-6031;35;23;20;29;90;82;88;44;23;50;90;88;60;32;63;26;18
Aircraft service attendants[1];53-6032;54;39;55;65;30;95;90;45;63;48;100;69;86;52;79;28;59
Traffic technicians;53-6041;45;76;52;68;44;31;41;29;28;76;68;38;55;44;69;45;45
Transportation inspectors;53-6051;36;43;32;54;44;63;33;23;24;64;47;55;57;58;71;51;65
Passenger attendants;53-6061;39;2;4;12;44;11;33;85;9;18;34;53;4;2;20;46;10
Transportation workers, all other[1];53-6099;24;21;10;21;65;54;64;49;15;50;68;74;27;16;49;35;26
Conveyor operators and tenders;53-7011;32;11;9;32;7;67;79;52;29;4;83;69;34;29;22;32;25
Crane and tower operators;53-7021;30;18;23;20;15;88;90;11;48;49;90;70;41;19;37;24;28
Dredge operators;53-7031;4;7;11;7;1;6;94;26;38;23;85;62;31;8;39;6;8
Hoist and winch operators;53-7041;9;8;15;36;25;94;92;33;52;34;89;83;70;40;34;23;21
Industrial truck and tractor operators;53-7051;17;21;12;17;24;92;89;22;49;34;82;86;37;73;18;5;15
Cleaners of vehicles and equipment;53-7061;3;17;10;6;34;13;68;27;48;4;72;87;7;34;57;1;1
Laborers and freight, stock, and material movers, hand;53-7062;5;13;0;3;30;15;69;7;5;18;71;91;12;2;13;1;16
Machine feeders and offbearers;53-7063;0;12;3;1;2;25;85;10;8;38;64;71;1;3;28;12;9
Packers and packagers, hand;53-7064;16;27;16;6;19;30;56;30;51;22;57;76;5;15;45;4;4
Stockers and order fillers;53-7065;4;30;15;7;59;14;45;42;22;26;44;84;9;19;26;29;17
Gas compressor and gas pumping station operators;53-7071;60;69;37;44;19;90;77;25;64;43;96;65;45;44;85;23;35
Pump operators, except wellhead pumpers;53-7072;3;32;14;39;10;28;79;3;24;61;90;80;45;82;67;26;44
Wellhead pumpers;53-7073;26;42;33;35;23;45;59;23;47;36;92;75;53;58;69;6;21
Refuse and recyclable material collectors;53-7081;0;3;0;0;14;2;57;0;1;0;73;84;2;0;13;2;3
Tank car, truck, and ship loaders;53-7121;32;38;36;29;29;94;85;30;61;42;83;95;49;70;56;23;40
Material moving workers, all other[1];53-7199;6;21;6;6;39;22;60;21;17;21;63;87;11;12;23;11;14
Footnotes:;;;;;;;;;;;;;;;;;;
[1] Skills information from similar O*NET-SOC occupation(s) imputed for this occupation. More information can be found in the Crosswalk of O*NET-SOC occupations to National Employment Matrix occupations for skills mapping file: https://www.bls.gov/emp/skills/ep_skill_nem_onet_crosswalks.xlsx.;;;;;;;;;;;;;;;;;;
Note: Percentile rank is the percentage of scores within a skills category that are strictly less than the score for a detailed occupation.;;;;;;;;;;;;;;;;;;
Source: Employment Projections program, U.S. Bureau of Labor Statistics;;;;;;;;;;;;;;;;;;
